Tweetler,Duygu Analizi
insanın yaşam enerjisini  anda alıp götüren şeyler beni sınır ediyor,0
kendimden nefret etmek   sebep  buldum üzgün olduğumda  yapacağım belli olmuyor,0
   beni anlasın    yeter  çıldıracağım,0
yeter   karadenizliyle evlendirip dağlara salın beni çıldıracağım yeter,0
durdu yere gözüm kanlanıldı çıldıracağım nazar değdirmesenize yeter,0
büyük küfür edeceğim  tutuyorum kendimi,0
saat dan    çıldıracağım,0
gizem yokken  şey yapasım gelmiyor  çıldıracağım,0
telefonumun ekranı tuzla buz  anlık kalp krizleri sınır krizlerini atlattım  onanım,0
bak küfür edeceğim  kaldı mal beyinliler,0
bize  haksızlığı yapanların cehennemde yanacağına  şüphem ,0
vurun  ölmedim  bağıracağım ,0
abi        tutkusuzuz çıldıracağım,0
çantamda  esneyen terliğimle  çıkıp  durmayan  varsa ağzına ağzına vurmak istiyorum,0
hoca bitir   özeti bitir   bekleyemiyorum çıldıracağım,0
bundan  iddaa  lira kaybedip yattı  sövenlere sövüyorum,0
 gezme kelimesini alışveriş yapmak olarak algılayan kızlara   sövüyorum,0
yağmasın saçımın fon bozuluyor diyenlerin  ağzına vurmak istiyorum,0
  trabzona  yenildik düşündükçe sövüyorum sövdükçe sövüyorum    şey arkadaş ,0
ülke gerizekalı dolu  hal  olunca  bütün zekasızlar beni buluyor  isyanda edemez olduk,0
  gerizekalı insan var  sitede    atlara binip defolup gitse ,0
 mal insanlar var  ,0
 mevsimi sevenleri kınıyorum içerliyorum   mevsimi sevenlere sövüyorum,0
kıza soru atıyorum yapamadım  diyor   attın ona  indireceğim kızım mal mısın,0
çaresizliğin anasına bacısına sövüyorum bok kafalı çaresizlik,0
kendimi karşıma alıp konuşmak istiyorum bak gerizekalı  iş  olmaz ,0
gerizekalı prim yaptığını anlamayacağımızı sanıyor,0
 annemden   yemek yapmayı öğrendim gerizekalı,0
sinirden delireceğim,0
 olan devamsızlığımı    girersin amk mal mısın ,0
,0
mal mısın  sinirimi bozuyorsun,0
bütün gün gerizekalı  edebiyat ödevi  uğraştığıma inanamıyorum  nefret ediyorum  dersten nefret,0
beni ıslatan araba sahibine sövüyorum,0
elektrikler  delireceğim şarjım olmuş,0
 bok olduğunda gelip    sokacağınıza git desene   söyle mal mısın,0
telefonumun mikrofonu  bozuldu delireceğim kulaklık girişi desene bozuk,0
  tweetine adını yazmayan gerizekalı gelsin alsın,0
beyin hücresini taneyle  verdiler  size    olmaz  nefret ediyorum sizden,0
görgüsüz insanları duvardan duvara vurmak istiyorum  nefret ,0
  yıldan    gün konuştuk  gidiyorsun  delireceğim taktik verseydin giderken,0
nefretimiz elektriğe dönüştürülebilseydi bütün dünyayı aydınlatmaya yeterdi,0
sutyenim  sıkıyor kafayı yiyeceğim ,0
 kalktığımdan  şunu arıyorum  kafayı yiyeceğim heryeri alt üst ettim  prize bakmamışım ,0
evde  tane çocuk var kafayı yiyeceğim kafalarını duvara  vuruyorlar,0
senin  bankanın  müşteri temsilcisinin desene allah belasını versin kudurdum sinirden bak,0
 kudurdum sinirden  yazmam aramam sormam basıp git ,0
elektrikler gitti sıçacağım  işe  izlemeliyim  amk kudurdum sinirden,0
   küfür edeceğim kişi takipten çıkacak   doluyum,0
 agresifim gelmeyin üstüme dedikçe geliyorsunuz   misiniz,0
radyo dinlerken sınır küpü oldum,0
saçlarımızla  desene sinirlerimizle oynadığınız  ortalarda sınır küpü  geziyoruz,0
yemekteyiz inci  patlıcanı kesemiyorsun  sınır oldum,0
atom  sokaklarda pervasızca bağırmak istiyorum  anda,0
öfkeliyim   yaptıklarına  yapamadıklarına  defa  diyorum bitti    senin  fotoğrafını  silemiyorum,0
hadiseye   öfkem var nedeni olmadan öfkelendiğim  insan    emin değilim  öfkeliyim,0
 an içimden bağırmak geldi yeminle,0
ödemesini yapmayan müşterileri arayıp where iş my money  bağırmak istiyorum,0
 soğukta sümerparkta oturan çiftler gerizekalı yemin ederim,0
 eşinin  bana  bakıyorsun haksız  bağırmak istemek,0
meclise bak esenler arka mahallesi  bize yöneten kitleye bak yumruklar küfürler kavgalar yazıklar olsun hepinize,0
iptal edin  ligleri  nedir   birlik  bağıran ağızlardan beddualar küfürler çocuğundan çıksın nedir  liginiz desene batsın,0
satır satır örül örül küfürler yazmak istiyorum  an buraya,0
kavgalar gürültüler sınır krizleri geçirilen nöbetler kırılan eşyalar küfürler hakaretler saymakla bitmez,0
aklıma geldiğinde küfürler ettiklerim napiyolar  yaşıyorlar ,0
ziraat bankası senden nefret ediyorum eminim şekerbank senden    bankadır,0
mesela   kızdığımı açıklamaya çalışırken   sinirleniyorum,0
 inat  egonuz   küfürler,0
beyin   gerizekalı olmak   yetenek işidir,0
  küfürler biliyorum  kadına yakışmıyor diyorlar,0
  hislerin bastırmasından nefret ederim,0
soruyorum  adımı  çaldın gerizekalı,0
sınırlıyken  yaratıcı küfürler edebiliyorum   olay,0
yumurtanın sperme gittiği nerde görülmüş gerizekalı   yazacağım,0
özür dilenince   sinirleniyorum değiştirmiyor  şeyi anlayın özür dilenecek şeyler yapmayın  basiti,0
yeter  bağıracağım ,0
abi benim mor montum nerde çıldıracağım ,0
saçma sapan ağa dizileri mafya dizileri uyduruk polisiyeleri alın  turşusunu kurun dizimizi harcadınız,0
dünya  nefes alan  şeye sınır ölüyorum  an hayvanlar ,0
kendisi kendime konuşurken  araya girince sinirleniyorum,0
 hayatımda  herşey   net olsun belirsizlikten nefret ediyorum düşünmekten kafayı yiyeceğim,0
yemek yedikten  kürdanı ağzına atıp   kürdanla gezen tiplerden nefret ediyorum,0
abi ısınamıyorum uyuyamıyorum cami açıp bağıracağım ,0
saçma sapan şeylerle oyalanıyoruz  şey gerçek   desene,0
annelerin  şeyi yemek yeme düzensizliğine bağlamalarına sınır ölüyorum,0
matematikte   değer konusu      malım çıldıracağım,0
 buraya atılan videonun bozuk olmaması   yapmak gerekiyor bilen  söyleyebilir  kafayı yiyeceğim,0
attığım mesaja  cevap veren insanlardan nefret ediyorum,0
mesela   kızdığımı açıklamaya çalışırken   sinirleniyorum,0
benimle ilgili yorum yapan saçma sapan insanlara hayatımı açıp bak  neresindesin  göstermek istiyorum,0
bana  cevap vermeyin  sınır ölüyorum ,0
 olmadığım   yapıyorsun dediğinde istemsiz  sinirleniyorum sanane   yapıyorum,0
 şampiyon olacağımız turnuvada sakatlık  yedeğimiz   diskalifiye olduk sinirden kafayı yiyeceğim,0
 süredir mesaj atmıyorsun çocuk sinirleniyorum,0
odadaki   beni sınır ediyor   an  uyuyor  sınır ölüyorum,0
askerliğimi  tur tecil ettiremedim kafayı yiyeceğim  gideceğim askere,0
okuldan  anlamda nefret ediyorum  arkadaş var  azından derdim    ,0
kendime sınır ölüyorum  aralar   olmaması gereken gereken   gidiyorum onu yapıyorum aptalım ,0
nefret ettiğim kişi sayısının fazlalığı beni desene korkutmaya başladı   şeye sinirlenip herkese sınır ölüyorum,0
  sevgililerin birbirine şifre verme olayına sınır ölüyorum  güvenmiyorsun   sevgili sıfatın ,0
 bölümü şuradan  kesseydi kanal   sınır ölüyorum daralıyorum,0
 şey söyleyeceğim diyip saat  yazanlara sınır ölüyorum,0
 beni vurun vurun nedir çektiğim zulüm  bağıracağım ,0
sevdiğim insanlar yanımda    sınır ölüyorum,0
  küfür edeceğim okumak istemeyen takipten çıksın,0
verdiğim değere karşılık alamayınca  nankörlük edilince sınır ölüyorum,0
handeyi   salın   feci sinirleniyorum küfür edeceğim etmiyorum beni sınamayınız,0
   bilim  ilgili konuşulurken işin içine din sokmalarına sınır ölüyorum,0
yolda  yürüyen insanlara sınır ölüyorum  yolun ortasındalarsa,0
kardeşim kumandayı saklamış   çarşıya gitmişler satır çizgi filme bakıyoruz kafayı yiyeceğim,0
birine sinirlenip tartışırken gözlerim dolup yüzüm kızarıyor   tarafa güçsüz göründüğümü düşünüp  sinirleniyorum,0
  şeyleri sorguluyorum kafayı yiyeceğim,0
sinirleniyorum  neye sinirlendiğimi  desene bilmiyorum karadenizli olmak   ,0
sinirlendim  kar  zaman yağacak yağda oynayalım ,0
 olur dışarıda tanımadığınız insanlarla şenli benli konuşmayın kafayı yiyeceğim  ayılıklar görmek istemiyorum ,0
kinci değilim  düşene vuranlara  düşürüp vurmak istiyorum,0
yanımda oturan kadın kendisi kendine konuşuyor yemin ederim kafayı yiyeceğim,0
 evde kalmak bana  gelmiyor okulda  yoktan sinirimi  nefretimi atabiliyorum evde iyice kafayı yiyeceğim,0
kasım ayında sivrisinek  olur  kafayı yiyeceğim ,0
 zamandır  sinirli anımı yaşıyorum   sinirliyim  kafayı yiyeceğim  an,0
  birilerine salça olmazsam kafayı yiyeceğim habersiz gidenler sinirimi bozuyor,0
 seven kalbim  an senden nefret ediyor,0
  güvenmiyor  senden nefret ediyor yeryüzündeki hastalıksın ,0
  maskelerini çıkartsın  birbirinden nefret ediyor soyunun,0
karakter varya herkeste sanırım  desene var dolaylı anlatımlardan nefret ediyor  kale almıyorum,0
 birbirlerinden nefret ediyor   birbirleriyle ,0
   şehirden nefret ediyorum insanlar saygısız,0
 gördüğümde  inanmışlığım aklıma geldikçe kendimden nefret ediyorum,0
sebepsiz yere arıyorum çalarken açarsa  diyiyeceğim  düşünüyorum açmayınca  sinirleniyorum,0
  herşeye   sinirleniyorum   insanlar   sınır bozucu,0
saçma sapan konuklarla sıkıcı program yapıyorsunuz,0
abi saçma sapan cezalar veriliyor,0
netimi saçma sapan şeylere harcıyorum,0
 size bırakıp mobile legends oynayıp küfür edeceğim   geleceğim,0
 kızım   özgüven  küfür edeceğim sabrımı zorlama,0
birşeyi arıyor  bulamıyorsam direk sinirleniyorum size desene oluyor   bende  var ,0
sistemli  şekilde attığımız goller ofsayt  verilmiyor   penaltımız verilmiyor yeter  defol git,0
aslı  an   sinirliyim  üzüyorsun adamı  kendin yapışıp    konuşuyorsun,0
 sinirliyim  an kırmızı lahananın rengi  mor   kabul etmiyorum   şeyi onun rengi mor mor,0
elit  semtte oturmasam sokağa çıkıp bağıra bağıra küfür edeceğim sinirim bedenime sığmıyor,0
 saatte uyandırıldım  sinirliyim,0
 sinirliyim  size   desene  köpeğe  olabilir,0
biriyle tartıştığımı hayal ettim   hayale kendimi   kaptırdığım  sinirliyim  an,0
vize haftasına girdi  an dağa taşa havadaki oksijene  şeye sinirliyim,0
  arkadaşlarımı başkalarıyla paylaşmaya  şekilde dayanamamaksam akşam  sinirliyim ,0
 günün saat sinirliyim kalan saatte desene uyuyorum ,0
bana beni  ver defolup git  gidiyorsan git,0
istediğin insanlar mutlu ol  yüzün  gülsün    defolup git  aklımdan,0
 şeyin rahatsız ediyor beni  olur defolup git   gidiyorsan,0
 durmak istemiyorsun   defolup git  ülkeden mesela,0
hastalık  defol git başımdan,0
 bana defol git ders çalış  kalacaksın diyebilir ,0
emeğe saygı göstermek    olmamalı paylaşmayın izle filmini defol git,0
zihniyetini  alkışlıyorum ego  alaka  sınır ölüyorum  insanları takip ediyorum ,0
çalışma saatlerimi bilmediğiniz  karıştırdığınız zaman  sınır ölüyorum,0
 şey anlatırken  demiştim  diyip duranlara sınır ölüyorum  aynı şey  tarafa olsa  çekinmem söylerim,0
   şeye sinirleniyorum    şey beni sinirlendirmek  var,0
 kore dizisi   diyen insanlara sınır ölüyorum türk dizisi hint dizisi  oluyorsa kore dizisi desene  oluyor  anlamak istemiyorsun,0
benden not isteyenlere sınır ölüyorum yüzlerine söylemesem desene,0
sınır ölüyorum kendime   olan herşeyi unuttum,0
yanaklarımı sıkan insanlara sınır ölüyorum,0
korece müziğe     önyargılı  sınır ölüyorum müzikte önemli olan dil  onun   hissettirdiğidir şunu  anlatamadık,0
çıldıracağım kafayı yiyeceğim,0
 mezun olacağım olana   gün  cübbenin   renkler uyumlu gözükür  düşünmekten kafayı yiyeceğim,0
hakaret ediyormuşum sinirinden geçilmiyor  bana  yaptın farkında mısın,0
gündür evdeyim kafayı yiyeceğim insanlar çalışmadan  gün napiyor ,0
anlaşılmıyor yazdıklarım anlaşılmıyor kafayı yiyeceğim,0
 sinirleniyorum  akışına bıraktım neye sinirlendiğimi  bilmiyorum,0
arabanın anahtarı annemde gitmiş allahım kafayı yiyeceğim,0
öğrenci kimliğimi kaybetmişim kafayı yiyeceğim   uğraş ,0
boncuk  den    kafayı yiyeceğim,0
telefonuma birini isim soy isimle kaydetmem  sevmiyor  nefret ediyor olmam lazım,0
ellerim soyuluyor dedi deri değiştiriyorsun normaldir sizde dedim sanırım benden nefret ediyor,0
 delireceğim  düştük  amk ,0
 kalmaya çalıştıkça günden güne artan öfkemden nefret ediyorum,0
 demiştim demekten nefret ediyorum  dedirdiriyorsun,0
 kimle  arkadaş olsa ona duygu besliyor allahım delireceğim yareppim,0
abi koca gürsuda kiralık daire  kafayı yiyeceğim ,0
 boku bitmiyor  çıldıracağım,0
düşündükçe sinirleniyorum sinirlenildikçe düşünüyorum kısır döngü girdabındayım,0
uyurken burnum kanamış heryer kan olmuş  uyanırken sınır küpü uyandım,0
 kavga edeceğim sinirden çarpıntım tutuyor,0
  sinirle  yaşamam diyorum yaşadıkça   sinirleniyorum,0
alışveriş yapacağım zaman   yapım  sınır bozucu ,0
sinirlenince gözlerimin dolmasından nefret ediyorum,0
  sinirliyim  olayım beni    sayın,0
gecenin saat u  yüksek seninle gazap  dinliyorsun küfür edeceğim,0
 ağzımdaki uyuşukluk geçmedi hala delireceğim,0
telefonumun ekranı   çizildi  kırılmış  duruyor  nedenle sinirliyim,0
passolig  cezayı bozüyük vitraspordan aldım  beşiktaş bayern maçına girememek  delireceğim,0
millet  der  düşünenlerden nefret ediyorum,0
 siren sesinde içimi sızlatan ambulans seslerinden nefret ediyorum,0
ekilmekten nefret ediyorum,0
allahım etraf beyinsiz kaynıyor çıldıracağım ,0
yaş   evde kaldım diyor   çıldıracağım    ,0
yeter  karşıma saçma sapan insanlar çıkmadan bitsin kabak tadı verdi  aynı,0
salak mısın  gerizekalı yemin ediyorum mal matematikten farkın ,0
ela yokken  şey yapasım gelmiyor  çıldıracağım,0
 ınstastory izleyenler neye  sıralanıyor  yemin ederim çıldıracağım,0
istediğim ekleri bulamıyorum  delireceğim,0
sınavdan sınava giriyorum kafayı yiyeceğim,0
birinin kilosu   boyuyla dalga geçildiğini görünce bana küfür edilmiş  sinirleniyorum,0
allah aşkına android  çevrimdışı müzik programı söyleyin kafayı yiyeceğim,0
gerizekalı   diyorum   halt yapıyorsun delireceğim,0
 paypalı  ülkemizden kaldırdılar    öfkeliyim   konuda  getirin şunu yeter,0
karşımdakine   değer verirsem   sinirleniyorum yaptığı yanlışlara,0
  sodayı açmaya çalışırken  yere döktüm sakar  öfkeliyim  an,0
pazar günlerinden nefret ediyorum,0
sol şeritte  yolda sürüyor gerizekalı allahım  olamıyorum böylelerini görünce,0
   herşeye sinirleniyorum  kendisi saçımı başımı yolmamak  kendimi  tutuyorum,0
alışveriş yapmam lazım  sinirleniyorum,0
beni sınırlıyken eğlendirmeye çalışanlara   sinirleniyorum,0
çıkıp bağıra bağıra küfür edeceğim  tutamıyorum  kendimi,0
sinirleniyorum    üniversitede  karar mantıklı ,0
herşeye    sinirleniyorum  tahammül süremi çoktan aştık birtanem,0
benimle alakası olamayan  şeye sinirleniyorum benimle alakası olanlara  sinirleniliyordum  menapoz,0
 param yokken yapmayın  indirimleri sinirleniyorum,0
 şey bomboş   saçma   öfkeliyim,0
 domuz eti yersin   sinirden küplere bindim uyuyamıyorum,0
kuş beyinli didem kuşlara hakaret olur  kuşların beyni var bunda    amk,0
 sinirleniyorum  akışına bıraktım neye sinirlendiğimi  bilmiyorum,0
  şeye herkese anlamsızca öfkeliyim,0
 an  sinirleniyorum  gebze haremi gördükçe    akraba olma arabası geçecek,0
  anda sinirleniyorum kendisi kendime bunun sebebi ,0
hayat  beklediğim  gitmiyor   buna  sinirleniyorum doktor hanım,0
uykumu almadığım zaman kendimi  agresif hissediyorum,0
 kendimi türkmenistan  hazar denizindeki kit şahanlığından  problem yaşayan rusya  agresif hissediyorum,0
 agresif hissediyorum  an  bilmiyorum  desene cisim olduğundandır,0
esra erolu çileden çıkartan şalvarlı gelin adayı  agresif hissediyorum,0
  kendimi işe yaramaz uyuz agresif hissediyorum,0
ayran içtim   agresif hissediyorum,0
fragmanın gelmediği  an   agresif hissediyorum  şeyler  bana,0
 yandan uzunu izlediğim  agresif hissediyorum kendimi  umarsızca koşmaya çıkacağım sinirimi atmak ,0
 siteye uğradığım zamanlar  gergin  agresif hissediyorum,0
  gerizekalı  agresif hissediyorum   timeline boşken millete sallayayım diyorum    biriyim,0
 sinirliyim bana bulaşanı hücrelerine  parçalayabilirim,0
    sinirliyim  alnıma sataşmayın yazacağım,0
   haksızlık  filmde  sinirden küplere bindim islami  yerden yere vurdu,0
 sinirliyim  an camdan atlayabilirim,0
  iftira atıldı üstüme  an  sinirliyim,0
sarılmayı  fiziksel olarak algılayanlara  kızgınım,0
agresif oldum olur olmadık herşeye sinirlenir oldum,0
yüzüme  söyleyemeyip   gönderenlere sınır ölüyorum kolaysa yüzüme söyle,0
beni seninle muhatap eden hayatın vizyonsuzluğuna  baya  kızgınım,0
herkese sınır ölüyorum  aralar  ,0
erzurumlu olmayan birine sinirlenince “ çor zakkum davul yatıran ” diyorum  şey anlamıyor   sınır bozucu,0
hala aramamış olman   sınır bozucu,0
zamanımı boşa harcadığım  kendime  kızgınım,0
  kelime var  nerde  olursa olsun sınır bozucu ,0
sinirliyim   beni   çirkin yapıyor,0
yemin ederim kan beynimden sıçrıyor   sinirliyim,0
genel olarak ogün   agresifim ara öğünler sinirli,0
  gördüğüm manzaradan   öğretimlere kızgınım,0
 aralar  tahammülsüz  sinirliyim hayr olsun,0
googleın  soruya  cevabı var  sınır bozucu ,0
 eskisinden desene agresif oldum kafamda filler dans ediyor,0
beni yaratmayanlara  kızgınım olmak benim hakkımdı,0
rehberimde kişi var hali sahaya gelecek  adam bulamıyorum amk kafayı yiyeceğim,0
karadenizli olmayanların şive yapmaya çalışması  sınır bozucu  ,0
annem beyaz pantolonla cebinde olan lirayı yıkamış isyan ettim sinirliyim beyazlarla yıkanır  ,0
  sinirliyim çarşıya iniyorum ortalığı birbirine katacağım,0
müezzinden saat  uyandığım  hayata   kızgınım,0
spor hocama  sinirliyim dedim beni ona  çalıştır  an sinirli oldum şeyi unuttum hocaya sinirliyim,0
taehyunga yapılan sakız meselesine   sinirliyim  anlatamam,0
 kızgınım  kişilere benim   an sıfırlar,0
bende böyleyim sinirliyim agresifim,0
 sinirliyim örtmene hastayım diyip gitmeyeceğim derse amk  matematik öğrenmek istemiyorum,0
zeki insanlar   sinirlenir  okudum  yerde    bilmiyorum  anda küplere bindim,0
 domuz eti yersin   sinirden küplere bindim uyuyamıyorum,0
bundan  birine küfür edeceğim zaman  hasan ali kaldırım diyecek,0
  pislik arkadaşlara sahibim yemin ederim düşündükçe kafayı yiyeceğim,0
kafayı yiyeceğim   kediyi  öldürür  insan,0
dakikada kontenjan  doldurulabilir kafayı yiyeceğim bak,0
delireceğim kafayı yiyeceğim sus beynim sus,0
  rakamındaki sır  kafayı yiyeceğim  ,0
çemensiz pastırma  olur   sınır oldum  an    ,0
 anlayamadı  sınır oldum sağolsun bağıranlar ,0
pasif agresiflikten nefret ederken pasif agresif oldum hayatım baya planladığım  gidiyor,0
 olmadığım  kızgınım hocaya  takıma,0
final haftamda  agresifim uçan kuşla  kavga ediyorum,0
gb  geceden bugüne bitti turkcelli allah alsın   an  kızgınım,0
 agresifim   bana selam verse desene  selam veriyorsun  kavga çıkarsam,0
para  diyorum  agresifim diyorum,0
   çay içemedim agresifim,0
germeyin oğlum beni sinirliyim agresifim bak,0
sevgilimi  özledim bana ters yapan olursa basının üstünde yeri var agresifim kompleksliyim  an,0
sinirlenilemiyor oluşuma kızgınım,0
   karşıma çıkmazsın senden nefret ediyorum nefret,0
modüler aritmetik senden nefret ediyorum,0
yanımda olmadığın   suçlusun  senden  herkese kızgınım,0
 heyecanlanınca  yalan söyleyince elimin ayağımın titremesinden nefret ediyorum,0
 kez şorlan sorulardan  karşıma  kez çıkan insanlardan nefret ediyorum,0
 sinirliyim allahım  topunuzun belasını verir hiçbirinize  kafayla dayanamıyorum ,0
allahım kafayı yiyeceğim kursta  uykum geldi dayanamıyorum  arada çıktım,0
can manav eski sevgilisinin gözüne kezzap  dökmüş kafayı yiyeceğim,0
  ders çalışıyorum  gidiyor   merak ediyorum kafayı yiyeceğim,0
 tarihlere  kızgınım takvim yapraklarıyla anlaşamıyorum,0
yürüyemediğim yolların içimde birikmesine kızgınım ,0
soyisimlerinizi kullanarak  yerlere gelmenize  kızgınım,0
bize  ayrılığı reva görenlere desene  miktar kızgınım,0
git gide tahammülsüz  insan ölüyorum  sinirliyim  ruh hastası ölüyorum yavaştan,0
kafam karışık uykusuz   agresifim  anlamsız karmaşa   hiçim,0
kızgınım sinirliyim karşılaşsak  kaşık suda boğarım  yüzüne tükürürüm ,0
kızgınım   kendime  defasında kendimden  karşımdakine değer verdiğim  kendime kızgınım,0
 kızgınım  `ta kalsam soğumam,0
medenicinin dersindeki ses kaydını dinliyorum adam    konuşuyor   kafayı koyup uyacağım   kızgınım,0
kaderimizde  kolayca ekmek kazanmak  değilmiş bilmiyorum  hayata kızgınım,0
 uyandığım  kızgınım kendime bok vardı ,0
kızgınım  kendime gider diyenlere gidenleri savunduğuma kızgınım,0
beni  saatte uyandıran alese desene  miktarda kızgınım,0
beni seninle muhatap eden hayatın vizyonsuzluğunda baya  kızgınım,0
herşeye  herkese kızgınım sebebini bilmiyorum,0
muslera   formuyla  kızgınım   senedir  ,0
tersimden  kalktım  sinirden çıldıracağım ,0
aykut hoca yeter    libero saldır diyoruz senin yaptığına bak  sövdüreceksin illa kendine,0
   ondan mesaj bekliyorum   çıldıracağım,0
 bilip bilmeden cengiz han  yorum yapıyor kafayı yiyeceğim ,0
çıldıracağım    gücü nerden alıyor,0
şunu zıpırı gördükçe sövüyorum   bırak topçuları itici oğlu itici,0
  süre girmeyip  online olunca  oluyormuş takipten çıkan herkese   sövüyorum,0
haluk leventin yaptıklarını görünce  yapması gereken  yapmayan kurumlara   sövüyorum,0
dakikadır aralıksız sövüyorum  asalaklar bizim vergimizden maaş alıyor,0
yeter   yaptığınız saçma salak mum söndü muhabbetleri hepinizin mumu sönsün,0
çift liberolar öpsün  defol  vizyonsuz şebeler yeter  ,0
allahım  uçuğa   gelir bilen var  çıldıracağım,0
site toplantısına oğlumu yolladım sınır küpü olmuş  şekilde geldi,0
 ders çalışıyorum sınır küpü olup kalkıyorum neye sinirlendiğimi bende bilmiyorum ,0
eko  an karşımda sınır küpü tansu   beni oyunda geçiyorsun strese sokuyorsun beni,0
 gergin  an anasayfada  sınır küpü olmuş,0
 an  öfkeliyim sinirimi yatıştıracak şeyler yapmam lazım,0
 sinirliyim kızgınım öfkeliyim yazıklar olsun alayına  haftada galibiyet alamadık,0
   çıkıp eğlenenlere   öfkeliyim  havada evde edebiyat çalışmak bitiriyor beni,0
uyuyamıyorum  delireceğim  gün,0
 şeye öfkeliyim başım  ince ince ağrıyor,0
 sınır bozucu  şekilde etrafımda dans edersin ,0
şey etiketlerden  beşiktaş çıkıyor delireceğim,0
 gelin evi  bana saçma gelmiyordur herhalde millete  benim zevkimden    sınır bozucu,0
gözlerinin içine  derin bakarken aklından  geçtiğini anlamazsın    sınır bozucu,0
ağız şapırdatmak  sınır bozucu  şey yoktur herhalde,0
